,Eligibility
17755,"Open to all candidates who meet the
requirements listed in the job announcement."
17757,All eligible candidates
17759,All eligible candidates
17760,All eligible candidates
17761,All eligible candidates
17762,All eligible candidates.
17763,All eligible candidates
17765,All interested and qualified candidates.
17766,All interested and qualified candidates.
17768,All qualified candidates.
17771,Everyone
17772,All the interested candidates.
17774,All qualified candidates.
17775,All the interested candidates.
17777,All the interested candidates.
17779,All interested candidates.
17781,Especially newly or recent graduates.
17782,All interested and qualified candidates.
17784,All the interested candidates.
17807,All the qualified candidates.
17808,All the qualified candidates.
17810,All interested and qualified candidates.
17811,Armenian graduate students.
17814,All qualified candidates.
17818,All qualified candidates.
17829,"Persons with experience with
international cuisine."
17839,All interested candidates.
17845,"C++ Developers with at least 2 years of
experience."
17849,All qualified candidates.
17851,All qualified and interested candidates.
17854,All qualified candidates.
17856,Everyone
17873,All eligible applicants.
17881,All qualified and interested candidates.
17882,All qualified and interested candidates.
17906,All interested and qualified candidates.
17918,All qualified and interested candidates.
17920,"C++ Developers with at least 2 years of
experience."
17922,All qualified candidates.
17935,Everyone
17946,All the qualified candidates.
17947,All eligible applicants.
17950,"All the qualified and interested
candidates."
17951,"All the qualified and interested
candidates."
17960,All the qualified candidates.
17961,All the qualified candidates.
17963,All the eligible candidates.
17966,All the eligible candidates.
17977,All the interested candidates.
17979,"All the interested and qualified
candidates."
17982,All the qualified candidates.
17984,"All the qualified and interested
candidates."
17985,All the interested professionals.
17986,Individuals
17988,"Applicants cannot be government employees
or civil servants."
17991,"All the interested and qualified
candidates."
18014,All the eligible candidates.
18015,All the interested candidates.
18016,All interested candidates.
18026,Individuals
18031,Internal and external candidates.
18037,Fresh graduates are encouraged to apply.
18049,Everyone
18058,All qualified candidates.
18061,All eligible candidates.
18078,"All the interested and qualified
candidates."
18084,All qualified and interested candidates.
18091,All qualified and interested candidates.
18092,All qualified candidates.
18110,All qualified candidates.
18124,All interested candidates.
18125,All interested candidates.
18128,All interested candidates.
18150,All interested candidates.
18151,"C++ Developers with at least 2 years of
experience."
18153,All qualified candidates.
18156,All qualified and interested candidates.
18157,All qualified and interested candidates.
18158,All qualified candidates.
18159,All qualified candidates.
18160,All qualified candidates.
18164,All interested candidates.
18165,All interested candidates.
18170,All qualified candidates.
18171,Everyone
18173,All qualified candidates.
18175,All interested and qualified candidates.
18176,All qualified and interested candidates.
18192,All interested and qualified candidates.
18198,All qualified and interested candidates.
